datetime,position,cash,equity,unrealized_pnl,realized_pnl,close_price
2024-11-26 13:30:00,LONG,435011455.2125097,439550226.59555864,4538771.383048925,0.0,1309.0
2024-11-26 13:45:00,LONG,435011455.2125097,438350226.5955586,3338771.383048879,0.0,1307.8
2024-11-26 14:00:00,LONG,435011455.2125097,439050226.59555864,4038771.3830489246,0.0,1308.5
2024-11-26 14:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1309.1
2024-11-26 14:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1310.0
2024-11-27 09:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1305.3
2024-11-27 09:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1305.8
2024-11-27 09:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1307.8
2024-11-27 09:45:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1308.0
2024-11-27 10:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1307.7
2024-11-27 10:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1306.8
2024-11-27 10:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1306.8
2024-11-27 10:45:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1306.3
2024-11-27 11:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1306.2
2024-11-27 11:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1307.1
2024-11-27 13:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1307.2
2024-11-27 13:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1308.0
2024-11-27 13:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1307.2
2024-11-27 13:45:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1308.1
2024-11-27 14:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1307.7
2024-11-27 14:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1307.4
2024-11-27 14:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1307.8
2024-11-28 09:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1316.2
2024-11-28 09:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1316.4
2024-11-28 09:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1317.6
2024-11-28 09:45:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1316.9
2024-11-28 10:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1316.2
2024-11-28 10:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1314.8
2024-11-28 10:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1312.5
2024-11-28 10:45:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1310.8
2024-11-28 11:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1310.5
2024-11-28 11:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1310.1
2024-11-28 13:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1310.3
2024-11-28 13:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1309.6
2024-11-28 13:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1310.7
2024-11-28 13:45:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1310.2
2024-11-28 14:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1306.3
2024-11-28 14:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1307.9
2024-11-28 14:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1307.6
2024-11-29 09:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1305.7
2024-11-29 09:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1305.5
2024-11-29 09:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1306.0
2024-11-29 09:45:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1306.6
2024-11-29 10:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1305.5
2024-11-29 10:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1305.6
2024-11-29 10:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1307.0
2024-11-29 10:45:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1307.9
2024-11-29 11:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1313.1
2024-11-29 11:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1313.9
2024-11-29 13:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1312.8
2024-11-29 13:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1313.7
2024-11-29 13:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1312.3
2024-11-29 13:45:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1317.3
2024-11-29 14:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1313.2
2024-11-29 14:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1317.3
2024-11-29 14:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1318.0
2024-12-02 09:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1322.8
2024-12-02 09:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1322.7
2024-12-02 09:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1318.3
2024-12-02 09:45:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1317.3
2024-12-02 10:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1316.3
2024-12-02 10:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1317.2
2024-12-02 10:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1316.6
2024-12-02 10:45:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1315.0
2024-12-02 11:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1315.1
2024-12-02 11:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1316.1
2024-12-02 13:00:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1314.8
2024-12-02 13:15:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1315.3
2024-12-02 13:30:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1314.3
2024-12-02 13:45:00,FLAT,438953936.5955585,438953936.5955585,0.0,0.0,1311.5
2024-12-02 14:00:00,SHORT,438757189.70983195,438703094.5537286,-54095.15610335802,0.0,1311.7
2024-12-02 14:15:00,FLAT,437306159.5537285,437306159.5537285,0.0,0.0,1312.4
2024-12-02 14:30:00,FLAT,437306159.5537285,437306159.5537285,0.0,0.0,1312.0
2024-12-03 09:00:00,FLAT,437306159.5537285,437306159.5537285,0.0,0.0,1315.2
2024-12-03 09:15:00,FLAT,437306159.5537285,437306159.5537285,0.0,0.0,1314.8
2024-12-03 09:30:00,FLAT,437306159.5537285,437306159.5537285,0.0,0.0,1310.6
2024-12-03 09:45:00,FLAT,437306159.5537285,437306159.5537285,0.0,0.0,1311.0
2024-12-03 10:00:00,FLAT,437306159.5537285,437306159.5537285,0.0,0.0,1306.0
2024-12-03 10:15:00,FLAT,437306159.5537285,437306159.5537285,0.0,0.0,1307.3
2024-12-03 10:30:00,FLAT,437306159.5537285,437306159.5537285,0.0,0.0,1308.0
2024-12-03 10:45:00,FLAT,437306159.5537285,437306159.5537285,0.0,0.0,1311.4
2024-12-03 11:00:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1313.3
2024-12-03 11:15:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1317.3
2024-12-03 13:00:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1315.8
2024-12-03 13:15:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1316.9
2024-12-03 13:30:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1314.6
2024-12-03 13:45:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1314.0
2024-12-03 14:00:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1314.3
2024-12-03 14:15:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1313.7
2024-12-03 14:30:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1314.0
2024-12-04 09:00:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1307.5
2024-12-04 09:15:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1307.7
2024-12-04 09:30:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1306.7
2024-12-04 09:45:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1308.1
2024-12-04 10:00:00,FLAT,434512816.1611008,434512816.1611008,0.0,0.0,1306.8
