trade_id,side,entry_time,entry_price,exit_time,exit_price,quantity,pnl,pnl_pct,commission,exit_reason
62,LONG,2025-10-15 14:15:00,2026.0,2025-10-15 14:15:00,2021.9636363636364,10,-4643558.181818148,-0.2291983307906292,607194.5454545454,Stop loss
63,LONG,2025-10-21 14:15:00,1922.5,2025-10-21 14:15:00,1911.609090909091,7,-8026217.818181728,-0.5964122473105501,402581.4545454545,Stop loss
64,LONG,2025-10-22 14:30:00,1922.5,2025-10-23 09:30:00,1913.1318181818183,8,-7954821.272727187,-0.5172185482917546,460275.8181818181,Stop loss
65,LONG,2025-10-23 10:00:00,1933.5,2025-10-23 10:15:00,1925.159090909091,8,-7135766.363636297,-0.4613244351975884,463039.0909090908,Stop loss
66,LONG,2025-10-28 14:00:00,1906.3,2025-10-31 11:00:00,1899.4272727272726,10,-7443586.36363648,-0.39047297716185697,570859.0909090908,Stop loss
67,LONG,2025-11-03 13:00:00,1911.4,2025-11-03 13:00:00,1905.4545454545455,10,-6517982.727272777,-0.3410056883578935,572528.1818181819,Stop loss
68,LONG,2025-11-04 14:00:00,1888.5,2025-11-05 09:15:00,1882.4272727272728,10,-6638366.363636297,-0.35151529592990716,565639.0909090908,Stop loss
69,LONG,2025-11-05 10:45:00,1898.0,2025-11-05 10:45:00,1890.85,10,-7718327.500000091,-0.406655821917813,568327.5,Stop loss
70,LONG,2025-11-10 11:15:00,1834.9,2025-11-10 11:15:00,1829.9636363636364,10,-5486093.181818239,-0.2989859491971355,549729.5454545454,Stop loss
71,LONG,2025-11-11 14:00:00,1834.3,2025-11-11 14:00:00,1828.4136363636362,10,-6435770.681818286,-0.3508570398418081,549407.0454545454,Stop loss
72,LONG,2025-11-12 11:15:00,1836.0,2025-11-13 13:30:00,1876.8000000000002,10,40243080.00000018,2.191888888888899,556920.0,Take profit
73,LONG,2025-11-14 11:15:00,1866.6,2025-11-14 14:15:00,1862.931818181818,10,-4227611.590909165,-0.22648728120160536,559429.7727272727,Stop loss
74,LONG,2025-11-18 14:30:00,1895.0,2025-11-19 09:00:00,1889.9636363636362,10,-5604108.181818375,-0.2957313024706267,567744.5454545454,Stop loss
75,LONG,2025-11-20 10:00:00,1903.3,2025-11-20 11:15:00,1899.7772727272727,10,-4093188.863636343,-0.2150574719506301,570461.5909090908,Stop loss
76,LONG,2025-11-21 14:30:00,1893.6,2025-11-27 09:00:00,1930.5000000000002,10,36326385.00000032,1.9183769011407015,573615.0,Take profit
77,LONG,2025-11-27 14:00:00,1928.3,2025-11-27 14:00:00,1925.459090909091,10,-3418972.954545372,-0.17730503316627974,578063.8636363635,Stop loss
78,LONG,2025-11-28 11:30:00,1926.3,2025-11-28 13:45:00,1923.6863636363637,10,-3191134.318181715,-0.16566133614606834,577497.9545454546,Stop loss
79,LONG,2025-12-02 14:00:00,1935.5,2025-12-02 14:00:00,1931.9545454545455,10,-4125572.7272726856,-0.2131528146356335,580118.1818181819,Stop loss
80,LONG,2025-12-04 14:00:00,1985.5,2025-12-04 14:00:00,1982.3363636363638,10,-3758811.8181816693,-0.18931311096356934,595175.4545454546,Stop loss
81,LONG,2025-12-08 10:15:00,1989.1,2025-12-08 10:15:00,1985.5636363636363,10,-4132563.1818181486,-0.20776045356282483,596199.5454545454,Stop loss
82,LONG,2025-12-09 14:15:00,1984.5,2025-12-09 14:15:00,1979.5,10,-5594600.0,-0.2819148400100781,594600.0,Stop loss
83,LONG,2025-12-15 10:30:00,1884.7,2025-12-15 10:30:00,1878.4454545454546,10,-6819017.272727269,-0.36180916181499806,564471.8181818181,Stop loss
84,LONG,2025-12-18 14:00:00,1898.9,2025-12-18 14:00:00,1894.9818181818182,10,-4487264.090909165,-0.23630860450308944,569082.2727272727,Stop loss
85,LONG,2025-12-19 14:15:00,1937.1,2025-12-22 11:00:00,1963.8727272727274,10,26187581.36363657,1.3518962037910571,585145.9090909091,Take profit
86,LONG,2025-12-30 14:30:00,2006.0,2025-12-31 14:30:00,2034.5,10,27893925.0,1.3905246759720837,606075.0,End of Backtest
